Scottish Charity Number,E&W Charity Number,Charity Name (E&W)
SC002327,263710,"Shelter, National Campaign for Homeless People Limited"
SC004252,247556,Sisters Trust
SC005117,218186,Leonard Cheshire Disability
SC008010,227812,Franciscan Missionary Sisters for Africa
SC009359,214779,The Salvation Army
SC009466,227848,Society of the Sacred Heart
SC010315,1084189,British Limbless Ex-Service Men's Association (Blesma)
SC011294,227350,The Congregation of the Holy Spirit and the Immaculate Heart of Mary (British Province)
SC024963,299106,The Central Gifts Committee of the Churches of God
SC037479,295672,Make-a-Wish Foundation UK
SC037480,1004005,Marine Conservation Society
SC037529,216032,Bloodwise
SC037536,290356,Mountains Animal Sanctuary
SC037554,258197,Parkinson's Disease Society of the United Kingdom
SC037584,268494,Association for the Study of Animal Behaviour Limited
SC037585,208217,The People's Dispensary for Sick Animals
SC037586,1091105,Meningitis Research Foundation
SC037594,1096364,Africa Inland Mission International
SC037605,216250,Barnardo's
SC037624,265464,Tearfund
SC037654,207076,Royal Society for the Protection of Birds
SC037659,209640,Royal Observer Corps Benevolent Fund
SC037673,226686,The Royal Air Forces Association - Corporate Body
SC037691,215174,The Salvation Army Social Work Trust
SC037711,203644,Cats Protection
SC037715,237005,Wec International
SC037717,216401,The National Society for the Prevention of Cruelty to Children
SC037733,209131,The British Council
SC037736,209603,The Royal National Lifeboat Institution
SC037737,1013887,The Royal College of Anaesthetists
SC037738,220949,The British Red Cross Society
SC037750,1089278,General Medical Council
SC037754,251549,Elim Foursquare Gospel Alliance
SC037757,1063200,Bibles for Children
SC037767,233782,The Baptist Missionary Society
SC037769,281757,Caravanners and Campers Christian Fellowship
SC037784,212424,"Rsa (The Royal Society for the Encouragement of Arts, Manufactures and Commerce)"
SC037786,1062746,The Quality Assurance Agency for Higher Education
SC037789,211015,Stroke Association
SC037790,803016,Meningitis Now
SC037794,1032606,United Kingdom Haemophilia Centre Doctors Organisation
SC037808,313013,The Marine Society and Sea Cadets
SC037810,1114641,Charity Select UK Bond Fund
SC037812,1114643,Charity Select UK Equity Fund
SC037835,284789,The Apostolic Church
SC037843,227523,Dogs Trust
SC037861,1015243,Medical Research Council Technology
SC037863,1044255,Community Bible Study International UK
SC037870,1001813,The Halo Trust
SC037871,802453,Whitesell Evangelistic Trust
SC037889,296042,The Pious Society of the Daughters of St Paul
SC037890,1030024,Association of University Administrators
SC037892,326654,Adoption UK
SC037901,1071662,Cacdp
SC037903,1090968,Chartered Institution of Wastes Management
SC037931,288493,Association for Heritage Interpretation
SC037939,1015793,CLC International (Uk)
SC037960,1108687,Crimestoppers Trust
SC037963,231060,The Chartered Institute of Public Finance and Accountancy
SC037997,313007,Buttle UK
SC037998,1097271,British Safety Council
SC038016,305969,The Boys' Brigade
SC038023,226745,The General Service Board of Alcoholics Anonymous (Great Britain) Limited
SC038025,1011605,British Society for Paediatric Dermatology
SC038056,210760,"The Soldiers, Sailors, Airmen and Families Association - Forces Help"
SC038057,802133,The Marchig Animal Welfare Trust
SC038067,802440,React
SC038092,1097940,Action for Children
SC038093,1045672,Emerge Poverty Free
SC038104,1017658,Breast Cancer Care
SC038105,1091035,Chartered Management Institute
SC038107,1092236,Concern Worldwide (Uk)
SC038109,1081009,The Royal Air Force Benevolent Fund
SC038110,207544,Royal Commonwealth Society for the Blind
SC038191,226446,Seafarers UK (King George's Fund for Sailors)
SC038199,1059879,Freedom Food Limited
SC038212,1043409,The Chartered Institution of Water and Environmental Management
SC038254,1072490,The Duke of Edinburgh's Award
SC038262,222879,The Royal Horticultural Society
SC038263,233392,The Institution of Structural Engineers
SC038264,262771,The Logos Trust
SC038264,327973,The Logos Trust
SC038279,1085662,The Polycystic Kidney Disease Charity
SC038279,1160970,The Polycystic Kidney Disease Charity
SC038299,1057744,Royal College of Paediatrics and Child Health
SC038304,228494,Economic History Society
SC038305,1023552,Unison Welfare
SC038321,207318,The Douglas Haig Memorial Homes
SC038331,209174,National Art Collections Fund
SC038362,1091434,Nursing and Midwifery Council
SC038369,228636,The Royal College of Psychiatrists
SC038384,206658,World Horse Welfare
SC038415,326730,British Lung Foundation
SC038416,1038483,Sisters of the Cross and Passion
SC038422,282751,The Society of Recorder Players
SC038435,235652,The Banner of Truth Trust
SC038436,306016,The Guide Association
SC038437,306101,The Scout Association
SC038454,1091768,National Centre for Social Research
SC038484,1099148,The Navigators UK Limited
SC038492,261062,The Genetics Society
SC038493,264166,L'arche
SC038494,1095189,Peace Child International
SC038497,1066905,Care for the Family
SC038499,306137,Universities & Colleges Christian Fellowship
SC038505,209259,Variety the Children's Charity
SC038516,210504,The British Horse Society
SC038518,1002222,Community Transport Association UK
SC038528,211200,Sisters of Charity of St Paul the Apostle
SC038541,1101478,Care of Police Survivors
SC038575,1117373,Aviation Without Borders
SC038598,1024741,The Universities and Colleges Admissions Service
SC038615,1128649,Shri Ram Chandra Mission UK
SC038626,1104324,CTC Charitable Trust
SC038628,1059293,Rokpa Trust
SC038629,210252,The Institution of Civil Engineers
SC038632,1117148,Crohn's and Colitis UK
SC038647,270363,British Society for Developmental Biology
SC038649,1040756,Place2be
SC038671,1126281,Human Relief Foundation
SC038675,1152954,Botanical Society of Britain and Ireland
SC038693,206563,Arthritis Care
SC038698,211014,The Institution of Engineering and Technology
SC038722,310952,The Royal Caledonian Education Trust
SC038731,207994,Marie Curie
SC038771,313246,Miners' Welfare National Educational Fund
SC038775,1116824,Newstraid Benevolent Fund
SC038776,1097217,Christians Against Poverty
SC038803,1021586,Brathay Trust
SC038805,1078508,The Association of Graduate Careers Advisory Services
SC038811,1012131,The Electrical Industries Charity Limited
SC038820,260907,The Seabird Group
SC038827,803716,Anthony Nolan
SC038828,206002,Ex-Services Mental Welfare Society
SC038849,249219,The National Federation of Music Societies
SC038850,1057437,Signpost International
SC038860,1041237,The Christian Trust
SC038863,1108335,The British Polio Fellowship
SC038864,1051659,Music in Hospitals
SC038865,1011012,Key Enterprises (1983) Ltd
SC038868,1112023,The Game and Wildlife Conservation Trust
SC038884,1101313,Street League
SC038885,294344,The Woodland Trust
SC038887,1010448,Remar Association (Uk)
SC038890,803270,The Learning Through Landscapes Trust
SC038905,267902,The JFH Charitable Trust
SC038910,1112194,Pets as Therapy
SC038911,1066963,Care (Christian Action Research and Education)
SC038918,298945,Handbell Ringers of Great Britain
SC038924,1015988,Royal Voluntary Service
SC038925,224469,PSS (Uk)
SC038926,207720,The Royal National Institute for Deaf People
SC038928,1107141,JSSC
SC038932,285891,The Venture Trust
SC038951,1059559,Plantlife International-the Wild Plant Conservation Charity
SC038971,1079573,Institute of Fundraising
SC038972,800797,The Disabilities Trust
SC038979,209617,The Guide Dogs for the Blind Association
SC038995,1084220,DM Thomas Foundation for Young People
SC039001,1071212,Flora Locale
SC039008,284880,Phoenix House
SC039009,233282,Subud Britain
SC039019,283253,Talteg Limited
SC039029,327449,FFFC (The Foresters' Fund for Children)
SC039039,1022991,Lantra
SC039042,202918,Oxfam
SC039049,255465,The Civil Service Retirement Fellowship
SC039052,1018963,The Adolescent and Children's Trust
SC039054,1093950,Royal Fleet Auxiliary Association
SC039057,305962,The Army Cadet Force Association
SC039058,1062636,Breakthrough Breast Cancer
SC039062,231192,The English Province of the Order of Preachers
SC039066,1139609,Association of Charity Independent Examiners
SC039088,232822,Royal National Mission to Deep Sea Fishermen
SC039092,1169337,Theatre Versus Oppression
SC039100,1090734,Urban Expression
SC039107,1064598,Mission Aviation Fellowship UK
SC039117,313757,Voluntary Service Overseas
SC039129,285575,The Association for Real Change
SC039136,215199,The British Diabetic Association
SC039137,1073238,The Brainwave Centre Limited
SC039140,251233,Wycliffe UK Limited
SC039150,1105851,Christian Aid
SC039153,288158,The Union of the Sisters of Mercy of Great Britain
SC039155,236803,The Daughters of Charity of St Vincent De Paul
SC039165,234184,The Congregation of the Daughters of Wisdom
SC039167,1078673,Zambesi Mission
SC039167,1165004,Zambesi Mission
SC039168,206862,The Soil Association Limited
SC039169,284912,Contact a Family
SC039170,1045617,Afasic
SC039171,291222,Volunteering Matters
SC039172,1108837,Home-Start UK
SC039173,312894,Goodenough College
SC039177,268502,Dyslexia Institute Limited
SC039181,1060078,United Jewish Israel Appeal
SC039185,231323,Religious Sisters of Charity
SC039189,1146420,Abf the Soldiers' Charity
SC039191,232177,The Order of Friars Minor
SC039193,216652,The British Trust for Ornithology
SC039197,1115606,Global Alliance for Livestock Veterinary Medicines
SC039200,313219,The Certified Accountants Educational Trust
SC039205,243312,The Landmark Trust
SC039207,259483,The Leukaemia Care Society
SC039209,236586,Netherhall Educational Association
SC039220,1004774,The Christian Institute
SC039224,221605,The Gideons International in the British Isles
SC039230,1101332,UK Biobank Limited
SC039236,212479,British Association for the Advancement of Science
SC039237,1113067,Attend
SC039239,1112775,Workers' Educational Association
SC039240,1089743,The National Association of Decorative and Fine Arts Societies
SC039244,1113753,The Society for the Protection of Ancient Buildings
SC039245,252892,Kidney Research UK
SC039247,326691,Wooden Spoon Society
SC039248,1074832,Street Child Africa
SC039250,264017,Microbiology Society
SC039251,1001349,Samaritan's Purse International Limited
SC039255,1095897,National Grocers Benevolent Fund
SC039256,1070003,Railway Paths Limited
SC039257,1094231,The British Allergy Foundation
SC039261,1115234,Cvqo Ltd
SC039263,326550,Sustrans Limited
SC039267,1062307,The Move Partnership
SC039268,254937,Butterfly Conservation
SC039269,1048454,Maritime Volunteer Service
SC039277,1074930,The Coalfields Regeneration Trust
SC039280,1060508,Tommy's
SC039284,208701,Action Medical Research
SC039289,207823,The Royal Society for the Prevention of Accidents
SC039294,233779,Salesians of Don Bosco UK
SC039297,263446,British Youth for Christ
SC039299,1114195,Genetic Alliance UK Ltd
SC039302,261009,The Conservation Volunteers
SC039304,803438,British Divers Marine Life Rescue
SC039307,246329,Carers UK
SC039309,801343,Eating Disorders Association
SC039313,1144923,The Crusaders' Union
SC039316,226227,The Royal National Institute of Blind People
SC039320,1092193,Bre Trust
SC039322,802364,Asthma UK
SC039332,1005541,Prostate Cancer UK
SC039335,1061685,Lawcare Limited
SC039336,1108380,Institute of Conservation
SC039337,275689,British Association for Adoption and Fostering
SC039338,280852,The Fostering Network
SC039339,294841,Child Poverty Action Group
SC039343,219946,Ufm Worldwide
SC039352,232098,Charitable Trusts of the Congregation of Franciscan Missionaries of the Divine Motherhood
SC039359,252041,Roman Catholic Purposes in Connection with the Congregation of the Most Holy Redeemer
SC039364,507478,Grimsthorpe and Drummond Castle Trust Limited
SC039370,1101204,Time Banks UK
SC039376,233137,Trust Property Held in Connection with the Little Company of Mary
SC039377,1146149,Contact the Elderly Limited
SC039383,1001327,Children in Distress
SC039405,269830,The Institute of Brewing & Distilling
SC039410,1030884,Wildfowl and Wetlands Trust
SC039411,216227,Blind Veterans UK
SC039426,225971,British Heart Foundation
SC039427,269425,The National Autistic Society
SC039440,294494,Federation of City Farms and Community Gardens
SC039445,205395,Muscular Dystrophy Group of Great Britain and Northern Ireland
SC039452,229642,The British Psychological Society
SC039461,1063036,Bangor Pentecostal Church
SC039469,1059248,Church of God - United Kingdom
SC039472,313082,The British Association for Early Childhood Education
SC039473,244108,Riding for the Disabled Association Incorporating Carriage Driving
SC039475,298900,Teen Challenge UK
SC039479,288701,Wateraid
SC039481,1103635,The North Northumberland Hospice
SC039482,1003825,Sparks Charity
SC039505,280817,Radio Lollipop (Uk) Limited
SC039512,278720,Dawliffe Hall Educational Foundation
SC039513,1053425,The Taoist Tai Chi Society of Great Britain
SC039529,1015581,The Coal Industry Social Welfare Organisation
SC039530,220240,The Sons of the Sacred Heart of Jesus
SC039534,1051681,Amnesty International UK Section Charitable Trust
SC039535,1070571,U Can Do I.t. (Internet Training)
SC039536,232190,Institute of the Religious of the Sacred Heart of Mary Immaculate Virgin
SC039550,206312,Railway Benevolent Institution
SC039553,249515,The English Province of the Institute of Franciscan Missionaries of Mary
SC039556,1015324,Creative Skillset - Sector Skills Council Limited
SC039557,802052,BBC Children in Need
SC039570,213890,The Save the Children Fund
SC039573,275119,College of Occupational Therapists Limited
SC039576,312832,The City and Guilds of London Institute
SC039578,1052076,Sue Ryder
SC039583,1103260,The British Pain Society
SC039593,1081247,WWF - UK
SC039632,1000340,Medical Foundation for the Care of Victims of Torture
SC039635,1002459,The Engineering Development Trust
SC039645,1123973,Omf International (Uk)
SC039650,302606,Hertfordshire County Scout Council
SC039654,1084958,Debra
SC039659,1083039,The Lin Berwick Trust
SC039661,214379,The Institution of Chemical Engineers
SC039664,313153,The Inspiring Futures Foundation
SC039669,212799,Merchant Navy Welfare Board
SC039671,519996,Community Integrated Care
SC039681,1101255,Stonewall Equality Limited
SC039682,1051610,Lupus UK
SC039683,299123,Action Against Medical Accidents
SC039684,1090136,Retail Trust
SC039685,295790,Dunard Fund
SC039692,1107713,Opportunity International United Kingdom
SC039693,248226,The Institute of Leadership and Management
SC039694,275261,The Royal College of Midwives Trust
SC039700,1016968,Young Minds Trust
SC039703,1007856,Child Brain Injury Trust
SC039703,1113326,Child Brain Injury Trust
SC039704,1058197,Medicinema
SC039714,801130,The Mental Health Foundation
SC039715,213251,Lepra
SC039718,238748,Dame Agnes Weston's Royal Sailors' Rests
SC039719,1087471,National Association for Gallery Education
SC039721,1134859,The National Rheumatoid Arthritis Society
SC039725,1011222,Changing Faces
SC039730,326568,Charity Projects
SC039731,1105703,Cancer Recovery Foundation UK
SC039732,288260,The Haemophilia Society
SC039737,1087794,Citizens Online
SC039743,1053055,Mercy Ships - U.K Ltd
SC039755,1102712,National Osteoporosis Society
SC039757,1062559,Teenage Cancer Trust
SC039772,1016972,The Royal Collection Trust
SC039790,1076829,The Miscarriage Association
SC039791,1148195,Woodcraft Folk
SC039799,1093577,The Ramblers' Association
SC039804,1048167,Coeliac UK
SC039805,1086375,Commonwealth Youth Exchange Council
SC039808,1108448,Living Streets (The Pedestrians Association)
SC039825,1121817,British Journal of Anaesthesia
SC039828,1092960,Dogs for Good
SC039842,297877,Ben - Motor and Allied Trades Benevolent Fund
SC039844,279072,The Focolare Trust
SC039845,1042760,The Association for Child and Adolescent Mental Health
SC039848,1125537,People's Health Trust
SC039856,287785,The Shaw Trust Limited
SC039857,1107328,Clic Sargent Cancer Care for Children
SC039861,1079327,"Change, Grow, Live"
SC039862,1077041,The Wild Trout Trust
SC039864,800066,International Institute for Environment and Development
SC039866,1067673,Abilitynet
SC039870,313364,Field Studies Council
SC039877,222595,The Chartered Certified Accountants' Benevolent Fund
SC039886,257414,The Psoriasis Association
SC039888,1013025,The Lucy Faithfull Foundation
SC039897,1040907,National Association for Bikers with a Disability
SC039907,261017,Macmillan Cancer Support
SC039913,251395,The Fellowship of Independent Evangelical Churches Limited
SC039929,1142082,Infosound
SC039933,296769,The Beshara Trust
SC039945,211305,The Grail Foundation of Great Britain
SC039948,225874,Christadelphian Care Homes
SC039950,313115,The Fellowship of the School of Economic Science
SC039986,288527,The Terrence Higgins Trust
SC039988,327056,The Fieldfare Trust Limited
SC039990,257376,The Electrical Safety Council
SC039992,1025852,Headway - the Brain Injury Association
SC040004,1092293,Buglife the Invertebrate Conservation Trust
SC040008,311098,Worldwide Church of God
SC040009,1001957,Addaction
SC040013,1058032,Transport Benevolent Fund
SC040023,1047653,Raleigh International Trust
SC040037,1121569,Northern English Springer Spaniel Rescue
SC040038,1132448,Get Hooked on Fishing
SC040047,328185,The Dean Clough Foundation
SC040049,287546,The Sir David Cardwell Memorial Prize
SC040050,205913,Action for Blind People
SC040052,1039236,The Intensive Care Society
SC040058,1125556,Haig Housing Trust
SC040060,1139516,Faculty of Occupational Medicine
SC040061,251681,The British Nutrition Foundation
SC040092,293851,The Institute of Physics
SC040093,272715,"The Energy, Petroleum, Mineral and Natural Resources Law and Policy Education Trust"
SC040094,1082947,Crisis UK
SC040096,1093387,Fire Fighters Charity
SC040111,1168037,The Fellowship of Independent Evangelical Churches
SC040111,263354,The Fellowship of Independent Evangelical Churches
SC040116,1012361,The Bat Conservation Trust
SC040117,1088475,Hospice of Hope Romania Limited
SC040118,1107724,Rock UK Adventure Centres Limited
SC040119,276346,Barnabas Trust Limited
SC040123,295716,Juvenile Diabetes Research Foundation Limited
SC040124,1103567,The Association of British Members of the Sovereign Military Hospitaller Order of St. John of Jerusalem of Rhodes and of Malta
SC040127,1126290,Aapg - Europe
SC040130,264209,The Nautical Archaeology Society
SC040134,236629,National Federation of the Blind of the United Kingdom
SC040136,1014274,Chernobyl Children's Lifeline
SC040142,234239,The Embroiderers' Guild
SC040148,1099163,One Spirit Interfaith Foundation
SC040154,224392,Blue Cross
SC040180,1155156,Gardeners' Royal Benevolent Society
SC040196,1079049,Cystic Fibrosis Trust
SC040231,1014705,Whale and Dolphin Conservation
SC040254,1096429,NPTC
SC040260,273365,British Society of Paediatric Dentistry
SC040273,1116965,The Hans Gal Society
SC040299,800072,The Cranfield Trust
SC040324,244067,The Chartered Institute of Housing
SC040341,1128090,The Outward Bound Trust
SC040343,235080,Child Evangelism Fellowship of Britain
SC040356,1114724,National Youthbike
SC040357,306070,National Playing Fields Association
SC040430,223106,The Royal College of General Practitioners
SC040456,280577,Release International
SC040457,226226,The Church Army
SC040468,280942,The Institute of Group Analysis
SC040486,293358,Hearing Dogs for Deaf People
SC040490,230165,Society of Jesus Trust of 1929 for Roman Catholic Purposes
SC040506,1045411,The Springboard Charity
SC040507,228906,The Congregation of the Sisters of Nazareth Charitable Trust
SC040511,282264,Broadcasting Support Services
SC040512,269971,Brahma Kumaris World Spiritual University (Uk)
SC040536,1080953,Country Holidays for Inner City Kids
SC040556,1099804,Students for Kids International Projects
SC040576,212325,The Evangelical Alliance
SC040577,1072216,The Back-Up Trust
SC040578,1004490,Churches Child Protection Advisory Service
SC040604,219432,Samaritans
SC040607,1102391,Ataxia UK
SC040610,1078275,National Day Nurseries Association
SC040616,1038253,Step Together Volunteering
SC040665,1132642,The Chartered Institute for Securities and Investment
SC040673,297359,Deeper Christian Life Ministry
SC040697,293575,Aagbi Foundation
SC040699,287106,The Uphill Ski Club of Great Britain
SC040700,278212,Crohn's in Childhood Research Association
SC040701,1044071,British Union Conference of Seventh-Day Adventists
SC040713,1116971,Show Racism the Red Card
SC040717,802047,Ronald Mcdonald House Charities (Uk)
SC040728,1111436,Community Money Advice Ltd
SC040748,1097984,Aid to the Church in Need (United Kingdom)
SC040750,1125949,Royal Society for Public Health
SC040753,1109103,Missionary Sisters of St Columban Charitable Trust
SC040779,1016532,The National Deaf Children's Society
SC040784,1102759,Tomorrow's People Trust Limited
SC040796,1128983,Border Collie Rescue
SC040810,1053866,The Family Fund Trust for Families with Severely Disabled Children
SC040873,1136896,The Chartered Institution of Highways and Transportation
SC040905,702632,Autism Initiatives (Uk)
SC040914,1071038,Bowel Cancer  UK
SC040944,1060571,Prospects for People with Learning Disabilities
SC040964,1122475,Healthy Planet Foundation
SC040972,1126044,Reuseful UK
SC040987,207812,Elizabeth Finn Care
SC040988,1008196,Operation Mobilisation
SC040990,221026,Environmental Protection UK
SC041012,1143472,The Society for Mucopolysaccharide Diseases
SC041022,1088631,Migrant Helpline
SC041034,1108160,The Cleft Lip and Palate Association
SC041036,1130309,Read for Good
SC041077,1129693,The Moira Fund
SC041079,222377,Royal Mencap Society
SC041100,1125467,Alpha 1 Awareness UK
SC041101,1058162,Christian Blind Mission (United Kingdom) Limited
SC041102,294884,National Playbus Association
SC041110,1093927,The Institute for Philanthropy
SC041111,1044539,BCM International UK (Anchor) Trust
SC041112,1014851,Hospice UK
SC041123,1156877,Airfields of Britain Conservation Trust
SC041152,1072376,Leap Confronting Conflict
SC041156,207711,Arthritis Research UK
SC041161,1139570,The Firefighters Memorial Trust
SC041191,273724,Royal College of Speech and Language Therapists
SC041198,1079675,The Prince's Trust
SC041199,1037087,The PSP Association
SC041201,249002,The Institute of Advanced Motorists Limited
SC041205,1122836,Kenya Aid Foundation
SC041209,285174,The British Thoracic Society
SC041236,1133542,Jo's Cervical Cancer Trust
SC041240,267917,The Family Federation for World Peace and Unification
SC041242,209780,Seventh-Day Adventist Association Limited
SC041252,1123975,The Church of Pentecost - UK
SC041260,1026148,Global Action Plan
SC041285,1099748,Vineyard Churches UK and Ireland
SC041298,275666,Scottish Terrier Emergency Care Scheme
SC041314,1108428,Saint John of God Hospitaller Services
SC041327,1083036,Ucare Foundation
SC041329,1128355,Life 2009
SC041397,1098815,Survivors of Bereavement By Suicide
SC041398,1132982,Giveall2charity
SC041453,1160148,Edith Cavell Fund for Nurses
SC041453,210571,Edith Cavell Fund for Nurses
SC041475,1091657,Global Charities
SC041481,1015286,Results Education
SC041488,1111147,Moto in the Community
SC041548,803000,Council of Professors and Heads of Computing
SC041550,274681,International Glaucoma Association Limited
SC041571,215011,Sacred Heart Fathers Trust
SC041582,1078287,British Wireless for the Blind Fund
SC041584,1123285,Salmon & Trout Conservation UK
SC041592,801395,The National Childbirth Trust
SC041594,213280,Royal College of Obstetricians and Gynaecologists
SC041623,278837,Reach Volunteering
SC041628,207495,The Multiple Sclerosis Society of Great Britain and Northern Ireland
SC041634,1134422,Coolam
SC041666,1089464,Cancer Research UK
SC041673,250851,National Spiritual Assembly of the Baha'is of the United Kingdom
SC041695,1116699,Permaculture Association (Britain)
SC041697,1118493,Wilderness Foundation UK
SC041699,1148746,Mashed Youth Project
SC041701,1001307,The Haemochromatosis Society
SC041706,1070646,Students Supporting Street Kids
SC041714,261898,The Spiritualists' National Union
SC041720,271323,Christian Witness to Israel
SC041725,280795,The Chartered Institute of Building
SC041728,1128534,Read Projects
SC041744,1135750,The Photographic Angle
SC041763,1141827,Megan Baker House Ltd
SC041793,205533,Nuffield Health
SC041812,1124950,Solomon Academic Trust
SC041828,1128167,The Hidradenitis Suppurativa Trust
SC041832,258322,Royal Engineers Association
SC041837,801790,Floris Books Trust Limited
SC041854,1093372,The Froglife Trust
SC041856,313024,The Museums Association
SC041867,272505,The College of Radiographers
SC041892,1128516,Sylva Foundation
SC041893,1134423,Foodcycle
SC041898,1117794,The Royal Navy and Royal Marines Charity
SC041904,248421,The Communications and Public Service Lifeboat Fund
SC041916,1117288,Diana Award
SC041918,1096598,Photovoice
SC041919,270157,Maharishi Foundation
SC041935,268555,The Society of Occupational Medicine
SC041941,1104287,Microloan Foundation
SC041945,1061593,The Institute of Historic Building Conservation
SC041947,1126863,British Universities and Colleges Sport Limited
SC041956,1136870,The Civil Service Benevolent Fund
SC041971,287815,The Council for British Archaeology
SC041973,1112749,Relief Education Development International
SC041976,1017255,Homeless International
SC041981,1137948,Movember Europe
SC041990,1139257,Multiple Sclerosis Society
SC041991,1115370,Patanjali Yog Peeth (Uk) Trust
SC041994,1114463,Healthcare Financial Management Association
SC041999,1165603,Feed the Minds
SC041999,291333,Feed the Minds
SC042015,1001198,The Macular Disease Society
SC042020,328158,Islamic Relief Worldwide
SC042026,1113079,Sky Watch Civil Air Patrol
SC042089,1051607,Blind Children UK
SC042096,1117538,Brain Tumour UK
SC042127,1062595,The Dystonia Society
SC042130,1136377,3space
SC042131,299081,Ahmadiyya Muslim Association United Kingdom
SC042132,703015,Brook Young People
SC042140,298858,British Liver Trust
SC042147,1089276,A Rocha UK
SC042165,1105974,Creative and Cultural Industries Limited
SC042186,1044624,YMCA George Williams Company
SC042204,1137594,Soldiers Off the Street
SC042234,1126808,Al-Khair Foundation
SC042256,803533,Limbless Association
SC042263,284718,British Crystallographic Association
SC042278,1095967,Thyroid Eye Disease Charitable Trust
SC042291,210794,Clarity - Employment for Blind People
SC042293,291852,British Society for Medical Mycology
SC042331,1123553,Breakthrough Generation for Christ (Ancf)
SC042339,1015668,Surf Life Saving Great Britain
