College,University,"Charity Number","Charity Name"
Christ's,Cambridge,1137540,CHRIST'S COLLEGE CAMBRIDGE IN THE UNIVERSITY OF CAMBRIDGE FIRST FOUNDED BY KING HENRY VI OF ENGLAND AND AFTER HIS DEATH
Churchill,Cambridge,1137476,CHURCHILL COLLEGE IN THE UNIVERSITY OF CAMBRIDGE
Clare,Cambridge,1137531,CLARE COLLEGE CAMBRIDGE
Clare Hall,Cambridge,1137491,CLARE HALL IN THE UNIVERSITY OF CAMBRIDGE
Corpus Christi,Cambridge,1137453,COLLEGE OF CORPUS CHRISTI AND OF THE BLESSED VIRGIN MARY IN THE UNIVERSITY OF CAMBRIDGE
Darwin,Cambridge,1141105,THE MASTER AND FELLOWS OF DARWIN COLLEGE IN THE UNIVERSITY OF CAMBRIDGE
Downing,Cambridge,1137455,DOWNING COLLEGE IN THE UNIVERSITY OF CAMBRIDGE
Emmanuel,Cambridge,1137456,THE MASTER FELLOWS AND SCHOLARS OF EMMANUEL COLLEGE IN THE UNIVERSITY OF CAMBRIDGE
Fitzwilliam,Cambridge,1137496,FITZWILLIAM COLLEGE IN THE UNIVERSITY OF CAMBRIDGE
Girton,Cambridge,1137541,GIRTON COLLEGE
Gonville and Caius,Cambridge,1137536,GONVILLE AND CAIUS COLLEGE IN THE UNIVERSITY OF CAMBRIDGE FOUNDED IN HONOUR OF THE ANNUNCIATION OF THE BLESSED MARY THE VIRGIN
Homerton,Cambridge,1137497,HOMERTON COLLEGE CAMBRIDGE
Hughes Hall,Cambridge,1137471,HUGHES HALL IN THE UNIVERSITY OF CAMBRIDGE
Jesus,Cambridge,1137462,JESUS COLLEGE IN THE UNIVERSITY OF CAMBRIDGE
King's,Cambridge,1139422,THE KING'S COLLEGE OF OUR LADY AND SAINT NICHOLAS IN CAMBRIDGE
Lucy Cavendish,Cambridge,1137875,LUCY CAVENDISH COLLEGE IN THE UNIVERSITY OF CAMBRIDGE
Magdalene,Cambridge,1137542,THE COLLEGE OF ST MARY MAGDALENE IN THE UNIVERSITY OF CAMBRIDGE
Murray Edwards,Cambridge,1137530,"THE PRESIDENT AND FELLOWS OF MURRAY EDWARDS COLLEGE, FOUNDED AS NEW HALL, IN THE UNIVERSITY OF CAMBRIDGE"
Newnham,Cambridge,1137512,THE PRINCIPAL AND FELLOWS OF NEWNHAM COLLEGE
Pembroke,Cambridge,1137498,MASTER FELLOWS AND SCHOLARS OF PEMBROKE COLLEGE
Peterhouse,Cambridge,1137457,THE MASTER (OR KEEPER) AND FELLOWS OF PETERHOUSE IN THE UNIVERSITY OF CAMBRIDGE
Queens',Cambridge,1137495,THE QUEENS' COLLEGE OF SAINT MARGARET AND SAINT BERNARD IN THE UNIVERSITY OF CAMBRIDGE
Robinson,Cambridge,1137494,ROBINSON COLLEGE IN THE UNIVERSITY OF CAMBRIDGE
St Catharine's,Cambridge,1137463,THE MASTER AND FELLOWS OF THE COLLEGE OR HALL OF SAINT CATHARINE THE VIRGIN IN THE UNIVERSITY OF CAMBRIDGE
St Edmund's,Cambridge,1137454,ST EDMUND'S COLLEGE IN THE UNIVERSITY OF CAMBRIDGE
St John's,Cambridge,1137428,ST JOHN'S COLLEGE CAMBRIDGE
Selwyn,Cambridge,1137517,SELWYN COLLEGE CAMBRIDGE
Sidney Sussex,Cambridge,1137586,THE COLLEGE OF THE LADY FRANCES SIDNEY SUSSEX IN THE UNIVERSITY OF CAMBRIDGE
Trinity,Cambridge,1137604,TRINITY COLLEGE CAMBRIDGE
Trinity Hall,Cambridge,1137458,TRINITY HALL CAMBRIDGE
Wolfson,Cambridge,1138143,THE PRESIDENT AND FELLOWS OF WOLFSON COLLEGE IN THE UNIVERSITY OF CAMBRIDGE
All Souls,Oxford,1138057,"THE COLLEGE OF ALL SOULS OF THE FAITHFUL DEPARTED, OF OXFORD"
Balliol,Oxford,1144032,THE MASTER AND SCHOLARS OF BALLIOL COLLEGE IN THE UNIVERSITY OF OXFORD
Brasenose,Oxford,1143447,THE KING'S HALL AND COLLEGE OF BRASENOSE IN OXFORD
Christ Church,Oxford,1143423,THE DEAN AND CHAPTER OF THE CATHEDRAL CHURCH OF CHRIST IN OXFORD OF THE FOUNDATION OF KING HENRY VIII
Corpus Christi,Oxford,1143714,CORPUS CHRISTI COLLEGE
Exeter,Oxford,1141333,THE RECTOR AND SCHOLARS OF EXETER COLLEGE IN THE UNIVERSITY OF OXFORD
Green Templeton,Oxford,1142297,GREEN TEMPLETON COLLEGE
Harris Manchester,Oxford,1143086,THE PRINCIPAL AND FELLOWS OF THE MANCHESTER ACADEMY AND HARRIS COLLEGE IN THE UNIVERSITY OF OXFORD
Hertford,Oxford,1137527,PRINCIPAL FELLOWS AND SCHOLARS OF HERTFORD COLLEGE IN THE UNIVERSITY OF OXFORD
Jesus,Oxford,1137433,CHATTON VILLAGE HALL TRUST
Keble,Oxford,1143997,KEBLE COLLEGE IN THE UNIVERSITY OF OXFORD
Kellogg,Oxford,,
Lady Margaret Hall,Oxford,1142759,THE PRINCIPAL AND FELLOWS OF THE COLLEGE OF THE LADY MARGARET IN THE UNIVERSITY OF OXFORD
Linacre,Oxford,1142130,LINACRE COLLEGE
Lincoln,Oxford,1139261,LINCOLN COLLEGE OXFORD
Magdalen,Oxford,1142149,THE COLLEGE OF ST MARY MAGDALEN IN THE UNIVERSITY OF OXFORD
Mansfield,Oxford,1143860,THE PRINCIPAL AND FELLOWS OF MANSFIELD COLLEGE IN THE UNIVERSITY OF OXFORD
Merton,Oxford,1139022,THE WARDEN AND SCHOLARS OF THE HOUSE OR COLLEGE OF SCHOLARS OF MERTON IN THE UNIVERSITY OF OXFORD
New,Oxford,1142701,"THE COLLEGE OF SAINT MARY OF WINCHESTER IN OXFORD, COMMONLY CALLED NEW COLLEGE"
Nuffield,Oxford,1137506,NUFFIELD COLLEGE IN THE UNIVERSITY OF OXFORD
Oriel,Oxford,1141976,"THE HOUSE OF THE BLESSED MARY THE VIRGIN IN OXFORD, COMMONLY CALLED ORIEL COLLEGE, OF THE FOUNDATION OF EDWARD THE SECOND OF FAMOUS MEMORY SOMETIME KI"
Pembroke,Oxford,1137498,MASTER FELLOWS AND SCHOLARS OF PEMBROKE COLLEGE
The Queen's,Oxford,1142553,"THE QUEEN'S COLLEGE, OXFORD"
St Anne's,Oxford,1142660,ST ANNE'S COLLEGE IN THE UNIVERSITY OF OXFORD
St Antony's,Oxford,1141293,ST ANTONY'S COLLEGE IN THE UNIVERSITY OF OXFORD
St Catherine's,Oxford,1143817,ST CATHERINE'S COLLEGE IN THE UNIVERSITY OF OXFORD
St Cross,Oxford,,
St Edmund Hall,Oxford,1137470,ST EDMUND HALL IN THE UNIVERSITY OF OXFORD
St Hilda's,Oxford,1137537,ST HILDA'S COLLEGE IN THE UNIVERSITY OF OXFORD
St Hugh's,Oxford,1139717,THE PRINCIPAL AND FELLOWS OF ST HUGH'S COLLEGE IN THE UNIVERSITY OF OXFORD
St John's,Oxford,1139733,SAINT JOHN BAPTIST COLLEGE IN THE UNIVERSITY OF OXFORD
St Peter's,Oxford,1143166,THE COLLEGE OF ST PETER LE BAILEY IN THE UNIVERSITY OF OXFORD
Somerville,Oxford,1139440,THE PRINCIPAL AND FELLOWS OF SOMERVILLE COLLEGE
Trinity,Oxford,1143755,THE COLLEGE OF THE HOLY AND UNDIVIDED TRINITY IN THE UNIVERSITY OF OXFORD OF THE FOUNDATION OF SIR THOMAS POPE
University,Oxford,1141259,THE MASTER AND FELLOWS OF THE COLLEGE OF THE GREAT HALL OF THE UNIVERSITY COMMONLY CALLED UNIVERSITY COLLEGE IN THE UNIVERSITY OF OXFORD
Wadham,Oxford,1139726,WADHAM COLLEGE
Wolfson,Oxford,1141446,WOLFSON COLLEGE IN THE UNIVERSITY OF OXFORD
Worcester,Oxford,1143479,"WORCESTER COLLEGE, OXFORD"
